service group,department,organisation,staff group,metric,month
Surgical Services,Other Surgery,Elective Management 75717,Nursing and Midwifery Registered,Sickness,7
Neighbourhood Services,Intensive Dementia DEPT,Intensive Dementia Support Service - West 67100,Nursing and Midwifery Registered,Sickness,7
Medical Services,Emergency Care DEPT,Accident & Emergency 76204,Nursing and Midwifery Registered,Hires,7
CYP & Families Services,Community & Urgent Services,CAMHS West Team 40020,Add Prof Scientific and Technic,Leavers,7
CYP & Families Services,Community & Urgent Services,CAMHS West Team 40020,Additional Clinical Services,Hires,7
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Nursing and Midwifery Registered,Leavers,7
Surgical Services,Outpatients,Main Outpatient 75769,Additional Clinical Services,Hires,7
Surgical Services,Private Patients,Parkside 00121,Estates and Ancillary,Leavers,7
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Add Prof Scientific and Technic,Leavers,7
Neighbourhood Services,Intermediate Care DEPT,D2A 00005,Allied Health Professionals,Hires,7
Neighbourhood Services,Intermediate Care DEPT,Pathway 2/3 65801,Additional Clinical Services,Leavers,7
Corporate Support Services,Procurement,Supply Chain 03007,Administrative and Clerical,Hires,7
Corporate Support Services,Experience & Learning,Colleague Support 02066,Additional Clinical Services,Leavers,7
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Estates and Ancillary,Sickness,7
Neighbourhood Services,Integrated Team South Som,Rehab South Somerset 61401,Additional Clinical Services,Leavers,7
Neighbourhood Services,Int Team N Sedge & B'Water,District Nursing Nights 60040,Nursing and Midwifery Registered,Leavers,7
CYP & Families Services,Dorset,Dorset Dental Team - East 44040,Additional Clinical Services,Hires,7
Neighbourhood Services,Complex Care DEPT,Complex Care - CLICK PCN 76001,Nursing and Midwifery Registered,Sickness,7
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Additional Clinical Services,Leavers,7
Neighbourhood Services,Frome Community Hospital,Frome Administration 21600,Administrative and Clerical,Hires,7
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Administrative and Clerical,Leavers,7
CYP & Families Services,Directorate Management Fam,Families Management 49010,Nursing and Midwifery Registered,Leavers,7
Corporate Support Services,Medical Education Director of People,Post Grad Medical Centre - MPH 02018,Administrative and Clerical,Hires,7
Neighbourhood Services,Integrated Team South Som,DN S Somerset - SPQ 61100,Additional Clinical Services,Hires,7
Neighbourhood Services,Intermediate Care DEPT,Rapid Response 67000,Allied Health Professionals,Leavers,7
Neighbourhood Services,Integrated Team South Som,Rehab South Somerset 61401,Allied Health Professionals,Hires,7
Corporate Support Services,Medical Education Director of People,F2 GP Placement 75512,Medical and Dental,Hires,7
Surgical Services,T&O,Hestercombe South West 18007,Nursing and Midwifery Registered,Leavers,7
CYP & Families Services,Acute Paediatrics,Ward 10 76250,Students,Sickness,7
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Ash Ward Team 50160,Nursing and Midwifery Registered,Leavers,7
Surgical Services,Endoscopy,Endoscopy YDH 76265,Nursing and Midwifery Registered,Hires,7
Surgical Services,Endoscopy,Endoscopy YDH 76265,Nursing and Midwifery Registered,Leavers,7
Surgical Services,Endoscopy,Endoscopy YDH 76265,Students,Sickness,7
Surgical Services,Theatres & DSC,Day Theatres 75701,Additional Clinical Services,Hires,7
Clinical Support and Cancer Services,Therapies DEPT,Inpatient Therapists 75838,Administrative and Clerical,Sickness,7
Medical Services,Cardiology,Cardiology 21003,Healthcare Scientists,Leavers,7
CYP & Families Services,Acute Paediatrics,Ward 10 76250,Students,Hires,7
Clinical Support and Cancer Services,Therapies DEPT,Podiatry 16005,Allied Health Professionals,Hires,7
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Ash Ward Team 50160,Additional Clinical Services,Hires,7
