service group,department,organisation,staff group,metric,month
Neighbourhood Services,Minehead Community Hospital,Minehead Wards 21623,Additional Clinical Services,Sickness,24
Neighbourhood Services,Minehead Community Hospital,Minehead Wards 21623,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Director of Corporate Services DEPT,Resilience Team 00407,Administrative and Clerical,Sickness,24
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Bridgwater MIU 20027,Administrative and Clerical,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Bridgwater MIU 20027,Allied Health Professionals,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Bridgwater MIU 20027,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Chard MIU 20027,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Director of Corporate Services DEPT,Corporate Governance Team 00411,Administrative and Clerical,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Frome MIU 20027,Allied Health Professionals,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Frome MIU 20027,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Minehead MIU 20027,Additional Clinical Services,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Minehead MIU 20027,Administrative and Clerical,Sickness,24
Neighbourhood Services,Minor Injury DEPT,Minehead MIU 20027,Nursing and Midwifery Registered,Sickness,24
Neighbourhood Services,Minor Injury DEPT,West Mendip MIU 20027,Additional Clinical Services,Sickness,24
Neighbourhood Services,Minor Injury DEPT,West Mendip MIU 20027,Administrative and Clerical,Sickness,24
Neighbourhood Services,Memory Assessment Service DEPT,Memory Assessment Service 68400,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Donated Debtors DEPT,General Trust Fund Y83801,Administrative and Clerical,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Acute Maintenance Service 04120,Estates and Ancillary,Sickness,24
Neighbourhood Services,Medical DEPT,Med OPMH Comm Mendip 2 62060,Medical and Dental,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Distribution 04240,Estates and Ancillary,Sickness,24
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination Musgrove 00033,Additional Clinical Services,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Dene Barton Hotel Services 21582,Estates and Ancillary,Sickness,24
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination Musgrove 00033,Administrative and Clerical,Sickness,24
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination Musgrove 00033,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Dene Barton Catering 21581,Estates and Ancillary,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Crewkerne Hotel Services 21562,Estates and Ancillary,Sickness,24
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination Yeovil 00036,Additional Clinical Services,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Crewkerne Catering 21561,Estates and Ancillary,Sickness,24
Neighbourhood Services,Mass Vaccination Programme,Mass Vaccination Yeovil 00036,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Cleanliness 04210,Estates and Ancillary,Sickness,24
Neighbourhood Services,Memory Assessment Service DEPT,Memory Assessment Service 68400,Administrative and Clerical,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Chard Hotel Services 21542,Estates and Ancillary,Sickness,24
Neighbourhood Services,Medical DEPT,Med OPMH Comm Sedgemoor 62050,Medical and Dental,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Catering - Retail 04281,Estates and Ancillary,Sickness,24
Neighbourhood Services,Medical DEPT,Med OPMH Comm South Som 62090,Medical and Dental,Sickness,24
Neighbourhood Services,Medical DEPT,Med OPMH Comm Taunton 62080,Medical and Dental,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Burnham Hotel Services 21522,Estates and Ancillary,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Burnham Catering 21521,Estates and Ancillary,Sickness,24
Neighbourhood Services,Medical DEPT,OPMH Resident Doctors 62020,Medical and Dental,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Bridgwater Hotel Services 21502,Estates and Ancillary,Sickness,24
Corporate Support Services,Estates and Facilities - SFT,Bridgwater Catering 21501,Estates and Ancillary,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Yeovil Crisis Resolution Team 52201,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Strategic Projects,Art For Life 00125,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Yeovil Crisis Resolution Team 52201,Allied Health Professionals,Sickness,24
Medical Services,Emergency Care DEPT,A And E Receptionists 20001,Estates and Ancillary,Sickness,24
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Administrative and Clerical,Sickness,24
Medical Services,Emergency Care DEPT,Accident & Emergency 76204,Additional Clinical Services,Sickness,24
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Medical and Dental,Sickness,24
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Nursing and Midwifery Registered,Sickness,24
Medical Services,Emergency Care DEPT,A&E Medical Staff 76202,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Connect 18 Bridgwater 51141,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Connect 18 Taunton 51140,Additional Clinical Services,Sickness,24
Medical Services,Emergency Care DEPT,A&E Admin Team 76200,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Connect 18 Taunton 51140,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Add Prof Scientific and Technic,Sickness,24
Medical Services,Emergency Care DEPT,A And E Receptionists 20001,Administrative and Clerical,Sickness,24
Medical Services,Emergency Care DEPT,A And E Department 20002,Nursing and Midwifery Registered,Sickness,24
Medical Services,Emergency Care DEPT,A And E Department 20002,Nursing and Midwifery Registered,Leavers,24
Medical Services,Emergency Care DEPT,A And E Department 20002,Estates and Ancillary,Sickness,24
Medical Services,Emergency Care DEPT,A And E Department 20002,Additional Clinical Services,Sickness,24
Medical Services,Emergency Care DEPT,A And E Department 20002,Additional Clinical Services,Hires,24
Medical Services,Dermatology,PUVA Clinic 12003,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Eating Disorders Bridgwater 51151,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Foundation House Admin Team 51180,Administrative and Clerical,Sickness,24
Medical Services,Emergency Care DEPT,Accident & Emergency 76204,Estates and Ancillary,Sickness,24
Medical Services,Emergency Care DEPT,Accident & Emergency 76204,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Personality Disorders Taunton 51160,Nursing and Midwifery Registered,Sickness,24
Medical Services,Emergency Care DEPT,Emergency Care Medical Staff 20000,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Transformation East OP 51290,Nursing and Midwifery Registered,Sickness,24
Medical Services,Emergency Care DEPT,SDEC Y - Same Day Emergency Care 76205,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,APPTS Minehead 51132,Add Prof Scientific and Technic,Sickness,24
Medical Services,Emergency Care DEPT,SDEC Y - Same Day Emergency Care 76205,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Bridgwater 51131,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Bridgwater 51131,Allied Health Professionals,Sickness,24
Medical Services,Emergency Care DEPT,SDEC Y - Same Day Emergency Care 76205,Additional Clinical Services,Sickness,24
Medical Services,Emergency Care DEPT,SDEC - Same Day Emergency Care 20105,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Add Prof Scientific and Technic,Sickness,24
Medical Services,Emergency Care DEPT,SDEC - Same Day Emergency Care 20105,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,CMHS Minehead 51112,Add Prof Scientific and Technic,Sickness,24
Medical Services,Emergency Care DEPT,Emergency Care Medical Staff 20000,Medical and Dental,Sickness,24
Medical Services,Emergency Care DEPT,Emergency Care Medical Staff 20000,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Adult Psychological Therapies Service Taunton 51130,Nursing and Midwifery Registered,Sickness,24
Medical Services,Emergency Care DEPT,Emer Nurse Practitioners (ENP) 76218,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Additional Clinical Services,Sickness,24
Medical Services,Emergency Care DEPT,Emer Nurse Practitioners (ENP) 76218,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Administrative and Clerical,Sickness,24
Medical Services,Emergency Care DEPT,CYP - Childrens and young pers 76219,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Bridgwater CMH Team 51111,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Personality Disorders Taunton 51160,Additional Clinical Services,Sickness,24
Medical Services,Dermatology,Dermatology Nurses 75854,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Nursing and Midwifery Registered,Sickness,24
Medical Services,Care of the Older Person DEPT,FAU 76210,Additional Clinical Services,Sickness,24
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Inpatients Admin Team 58000,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Broadway Central 50102,Estates and Ancillary,Sickness,24
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Holford Ward Team 50170,Administrative and Clerical,Sickness,24
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Additional Clinical Services,Sickness,24
Medical Services,Care of the Older Person DEPT,Care Of Elderly Med Stf 62000,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Allied Health Professionals,Sickness,24
Medical Services,Care of the Older Person DEPT,Care Of Elderly Med Stf 62000,Medical and Dental,Sickness,24
Medical Services,Care of the Older Person DEPT,Care Of Elderly Med Stf 62000,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Pyrland Ward Team 68000,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Estates and Ancillary,Sickness,24
Medical Services,Care of the Older Person DEPT,FAU 76210,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Allied Health Professionals,Sickness,24
Medical Services,Dermatology,Dermatology Medical Staff 75853,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Taunton CMHT 51110,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Add Prof Scientific and Technic,Sickness,24
Medical Services,Dermatology,Dermatology Med Stf 12002,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Administrative and Clerical,Sickness,24
Medical Services,Dermatology,Dermatology Med Stf 12002,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,CMHS West,Transformation West 51170,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Directorate Management MH DEPT,Division Management MHICS 58000,Add Prof Scientific and Technic,Sickness,24
Medical Services,Dermatology,Dermatology Med Stf 12002,Additional Clinical Services,Sickness,24
Medical Services,Care of the Older Person DEPT,Triscombe CO Older Persons Unit 20401,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Co-Production Service DEPT,Co-Production Services 56700,Nursing and Midwifery Registered,Sickness,24
Medical Services,Care of the Older Person DEPT,Triscombe CO Older Persons Unit 20401,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Co-Production Service DEPT,Somerset Recovery 56701,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Co-Production Service DEPT,Somerset Recovery 56701,Administrative and Clerical,Sickness,24
Medical Services,Care of the Older Person DEPT,Triscombe CO Older Persons Unit 20401,Additional Clinical Services,Sickness,24
Medical Services,Care of the Older Person DEPT,FAU Medical Staff 76211,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,Community Rehab DEPT,Open Mental Health Rehab 55307,Administrative and Clerical,Sickness,24
Medical Services,Care of the Older Person DEPT,FAU 76210,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Transformation East OP 51290,Additional Clinical Services,Sickness,24
Medical Services,Endocrinology,Conservators Ward 20202,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Additional Clinical Services,Sickness,24
Medical Services,Neurology,Neurology Med Stf 20700,Medical and Dental,Sickness,24
Medical Services,Stroke,Stroke Care Med Staff 20600,Add Prof Scientific and Technic,Sickness,24
Medical Services,Neurology,Neurophysiology 20702,Additional Clinical Services,Sickness,24
Medical Services,Stroke,Stroke Care Med Staff 20600,Medical and Dental,Sickness,24
Medical Services,Neurology,Neurophysio Med Stf 20701,Medical and Dental,Sickness,24
Medical Services,Stroke,Stroke Care Med Staff 20600,Nursing and Midwifery Registered,Sickness,24
Medical Services,Stroke,Stroke Medical Staff 76264,Medical and Dental,Sickness,24
Medical Services,Stroke,Stroke Team 76272,Administrative and Clerical,Sickness,24
Medical Services,Neurology,Neurology Med Stf 20700,Nursing and Midwifery Registered,Sickness,24
Medical Services,Stroke,Stroke Team 76272,Allied Health Professionals,Sickness,24
Medical Services,Stroke,Stroke Team 76272,Nursing and Midwifery Registered,Sickness,24
Medical Services,Neurology,Neurology Med Stf 20700,Additional Clinical Services,Sickness,24
Medical Services,Stroke,Dunkery Stroke & Neuro Unit 20601,Nursing and Midwifery Registered,Sickness,24
Medical Services,Stroke,Ward 8B Stroke and Gen Med 76330,Additional Clinical Services,Sickness,24
Medical Services,Stroke,Ward 8B Stroke and Gen Med 76330,Nursing and Midwifery Registered,Sickness,24
Medical Services,Neuro Rehab,Rehabilitation Med Stf 20800,Nursing and Midwifery Registered,Sickness,24
Medical Services,Neuro Rehab,Rehabilitation Med Stf 20800,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,ADHD,ADHD 59400,Administrative and Clerical,Sickness,24
Medical Services,Neuro Rehab,Rehabilitation Med Stf 20800,Allied Health Professionals,Sickness,24
Medical Services,Neuro Rehab,Lydeard Ward - SNRC 20801,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,ADHD,ADHD 59400,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,AOT East,AOT South Somerset 51201,Add Prof Scientific and Technic,Sickness,24
Medical Services,Neuro Rehab,Lydeard Ward - SNRC 20801,Additional Clinical Services,Sickness,24
Medical Services,Neurology,Neurophysiology 20702,Healthcare Scientists,Sickness,24
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Additional Clinical Services,Sickness,24
Medical Services,Neuro Rehab,Dene Barton Administration 21580,Administrative and Clerical,Sickness,24
Medical Services,Respiratory,Medicine Ward 9A 76281,Nursing and Midwifery Registered,Sickness,24
Medical Services,Respiratory,Respiratory Medical Staff 76263,Medical and Dental,Sickness,24
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Medical and Dental,Sickness,24
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Allied Health Professionals,Sickness,24
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Administrative and Clerical,Sickness,24
Medical Services,Respiratory,Respiratory Nurses 76270,Additional Clinical Services,Sickness,24
Medical Services,Respiratory,Resp Thoracic Med Stf 20900,Add Prof Scientific and Technic,Sickness,24
Medical Services,Respiratory,Respiratory Nurses 76270,Nursing and Midwifery Registered,Sickness,24
Medical Services,Respiratory,Resp Commercial Research Fund 20950,Administrative and Clerical,Sickness,24
Medical Services,Respiratory,Sleep Nurses 76271,Additional Clinical Services,Sickness,24
Medical Services,Respiratory,Sleep Nurses 76271,Nursing and Midwifery Registered,Sickness,24
Medical Services,Rheumatology,Rheum Medical Staff 76299,Medical and Dental,Sickness,24
Medical Services,Stroke,Dunkery Stroke & Neuro Unit 20601,Administrative and Clerical,Sickness,24
Medical Services,Respiratory,Medicine Ward 9A 76281,Additional Clinical Services,Sickness,24
Medical Services,Rheumatology,Rheumatology Med Stf 21200,Medical and Dental,Sickness,24
Medical Services,Rheumatology,Rheumatology Med Stf 21200,Nursing and Midwifery Registered,Sickness,24
Medical Services,Respiratory,Lung Function 20902,Healthcare Scientists,Sickness,24
Medical Services,Rheumatology,Rheumatology Nurses 76302,Additional Clinical Services,Sickness,24
Medical Services,Respiratory,Lung Function 20902,Additional Clinical Services,Sickness,24
Medical Services,Rheumatology,Rheumatology Nurses 76302,Nursing and Midwifery Registered,Sickness,24
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Nursing and Midwifery Registered,Sickness,24
Medical Services,Respiratory,Coleridge Respiratory Unit 20903,Administrative and Clerical,Sickness,24
Medical Services,Stroke,Dunkery Stroke & Neuro Unit 20601,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,AOT East,AOT South Somerset 51201,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,AOT East,Mendip Assertive Outreach Team 51200,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Connect 18 South Somerset 51241,Additional Clinical Services,Sickness,24
Medical Services,Endocrinology,Ward 9B - Endo & COOP 76283,Additional Clinical Services,Sickness,24
Medical Services,Endocrinology,Endocrinology Med Stf 21100,Nursing and Midwifery Registered,Sickness,24
Medical Services,Endocrinology,Endocrinology Med Stf 21100,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Connect18 Mendip 51240,Allied Health Professionals,Sickness,24
CYP & Families Services,Acute Paediatrics,Childrens Day Surgery Unit 43030,Additional Clinical Services,Sickness,24
Medical Services,Endocrinology,Diabetes Nurses - Adult 76301,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Holly Court Admin Team 51281,Administrative and Clerical,Sickness,24
Medical Services,Endocrinology,Diabetes 21120,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Add Prof Scientific and Technic,Sickness,24
Medical Services,Endocrinology,Diabetes 21120,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Bridge Reception 51280,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Mendip CMHT 51210,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Personality Disorder Team Mendip 51260,Add Prof Scientific and Technic,Sickness,24
Medical Services,Endocrinology,Diab & Endo Medical Staff 76297,Medical and Dental,Sickness,24
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Allied Health Professionals,Sickness,24
Medical Services,Endocrinology,Conservators Ward 20202,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,South Somerset CMHT 51211,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Transformation East 51270,Add Prof Scientific and Technic,Sickness,24
Medical Services,Endocrinology,Ward 9B - Endo & COOP 76283,Nursing and Midwifery Registered,Sickness,24
Medical Services,Medical DayCare DEPT,Medical Day Unit 20100,Additional Clinical Services,Sickness,24
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Nursing and Midwifery Registered,Sickness,24
Medical Services,Medical Services Management DEPT,Medical Service Grp Management 29000,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,AOT East,Mendip Assertive Outreach Team 51200,Additional Clinical Services,Sickness,24
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,AOT East,Mendip Assertive Outreach Team 51200,Nursing and Midwifery Registered,Sickness,24
Medical Services,Nephrology DEPT,Nephrology Med Stf 21300,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,AOT West,Bridgwater Assertive Outreach Team 51101,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,AOT West,Bridgwater Assertive Outreach Team 51101,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,AOT West,Taunton Assertive Outreach Team 51100,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,AOT West,Taunton Assertive Outreach Team 51100,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,ARRS Service DEPT,ARRS Service 55305,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Administrative and Clerical,Sickness,24
Medical Services,Medical DayCare DEPT,Medical Day Unit 20100,Nursing and Midwifery Registered,Sickness,24
Medical Services,Medical Services Management DEPT,Medical Service Grp Management 29000,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Autism Service,Autism Service 55300,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,APPTS South Somerset 51231,Add Prof Scientific and Technic,Sickness,24
Medical Services,Medical DayCare DEPT,Queensway Day Hospital 76333,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,CMHS East,APPTS South Somerset 51231,Nursing and Midwifery Registered,Sickness,24
Medical Services,Medical DayCare DEPT,Queensway Day Hospital 76333,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Add Prof Scientific and Technic,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Administrative and Clerical,Sickness,24
Medical Services,Medical DayCare DEPT,Queensway Day Hospital 76333,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,CMHS East,Appts Mendip 51230,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 2 50281,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Yeovil Crisis Resolution Team 52201,Additional Clinical Services,Sickness,24
Corporate Support Services,Trustwide Schemes,Human Resources 02003,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Court Assessment Team 54400,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Court Assessment Team 54400,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,WoE Imaging Network,WoE Imaging Network 00157,Allied Health Professionals,Sickness,24
Corporate Support Services,WoE Imaging Network,WoE Imaging Network 00157,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Forensic Team 54401,Nursing and Midwifery Registered,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Inpatient & Home Treatment Team Psychologist Team 50101,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Trustwide Schemes,Staff Bank Workers 02004,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Inpatient & Home Treatment Team Psychologist Team 50101,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Mendip Crisis Resolution Team 52200,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Mendip Crisis Resolution Team 52200,Administrative and Clerical,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Mendip Crisis Resolution Team 52200,Allied Health Professionals,Sickness,24
Medical Services,Acute/General Medicine DEPT,AMU - 6B 76209,Additional Clinical Services,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Mendip Crisis Resolution Team 52200,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Students,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,OPD (A & W) 54402,Add Prof Scientific and Technic,Sickness,24
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Nursing and Midwifery Registered,Sickness,24
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Allied Health Professionals,Sickness,24
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,OPD (A & W) 54402,Allied Health Professionals,Sickness,24
