service group,staff group,metric,n_months,boxcox_lambda,unique_id,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,total_sum,mean,variance,median,p2point5,p5,p25,p75,p95,p97point5,max,min
Mental Health and Learning Disabilities,Medical and Dental,Sickness,477,-1.075129944284154,Mental Health and Learning Disabilities|Medical and Dental|Sickness,1,12,0.1478683915332485,34.9846424404248,-147.28323304218884,17.381696061348176,-0.15550461300166096,0.07467463483229526,0.1952148119640833,3,6,-0.015595353644986099,0.026717361323151494,-0.5264759570349492,0.34173562924915774,-0.6744449449663571,0.5784629638825591,0.05918237334789395,-53736.46276476976,-112.6550582070645,2029.8430715430432,-130.53148500531952,-130.53148500531952,-130.53148500531952,-130.53148500531952,-130.53148500531952,0.893598021773331,0.9086466232525477,0.9199996339924975,-130.53148500531952
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Hires,114,-27.411202858488334,Mental Health and Learning Disabilities|Nursing and Midwifery Registered|Hires,1,12,0.1383020688571308,1.8730664354045954e-12,0.0015991093482168178,-0.00758363883301225,0.04537630861187778,0.2462167786924632,0.2503458722833325,1,7,0.11988304093567252,0.06505515467247282,-0.4,0.21000000000000008,-0.6071428571428571,0.409438775510204,-0.06140350877192983,0.21888860541284688,0.0019200754860776042,6.694767803388122e-05,0.0,0.0,0.0,0.0,0.0,0.01276850198241586,0.03648143423547448,0.03648143423547448,0.0
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Leavers,135,-17.70478594148719,Mental Health and Learning Disabilities|Nursing and Midwifery Registered|Leavers,1,12,0.07395925372696499,1.0131220646524051e-11,0.009838548427335635,-0.007555962586030746,-0.14820940681110867,0.16487493099441933,0.24045509656927022,6,7,-0.08936678614097968,0.08357975891002128,-0.5,0.3946280991735536,-0.6363636363636364,0.6033057851239669,0.01044314108830236,0.6212980234029524,0.00460220758076261,0.00024054170059634929,0.0,0.0,0.0,0.0,0.0,0.05648163849117749,0.05648163849117749,0.05648163849117749,0.0
Mental Health and Learning Disabilities,Nursing and Midwifery Registered,Sickness,1425,0.05549919624623967,Mental Health and Learning Disabilities|Nursing and Midwifery Registered|Sickness,1,12,0.12152388139839265,2.8971342483605255e-05,8.175343641301785,-5.474662358425458,-0.08392211198797907,0.07191669839088209,0.17549473789192271,5,3,0.03591502535618285,0.004062085214707363,-0.47689898883452153,0.22933423614142126,-0.6547859375847606,0.4527747266214977,0.029634016504185744,-299.9648171639903,-0.21050162607999318,11.149352868256315,0.7118360405795616,-4.063758591762655,-4.063758591762655,-4.063758591762655,2.8755591829514033,4.104692486147559,4.401786413328819,5.207489119972887,-4.063758591762655
Neighbourhood Services,Add Prof Scientific and Technic,Sickness,333,-0.6241772657956898,Neighbourhood Services|Add Prof Scientific and Technic|Sickness,1,12,0.11322067591275198,0.16521574348678605,16.55345192887194,0.8658258513821311,-0.17569373122848417,0.07777755956511558,0.13625697979738316,9,3,-0.02940547181866606,0.03021094102693684,-0.5208731131291077,0.3028554677700858,-0.6694845536926348,0.5016577710744758,-0.06451970942914192,-6745.198965674433,-20.25585274977307,137.41656622908312,-26.78012560119876,-26.78012560119876,-26.78012560119876,-26.78012560119876,-26.78012560119876,1.30670116813816,1.3920173963222389,1.4754463801229005,-26.78012560119876
Neighbourhood Services,Additional Clinical Services,Hires,365,-3.610283636205508,Neighbourhood Services|Additional Clinical Services|Hires,1,12,0.12250762620956468,1.1258050885471037e-09,-0.22473807817913674,0.053253400156440166,-0.14353069018464476,0.09012303910983613,0.1815512936579461,7,4,-0.009033401741295445,0.020965053753442833,-0.5009093699336286,0.3128609478592922,-0.6560016663738271,0.5422604997385146,0.015259528390159025,21.524401066697354,0.058970961826568094,0.012056684724900991,0.0,0.0,0.0,0.0,0.0,0.2717394925047273,0.2767667022212743,0.2769846646211971,0.0
Neighbourhood Services,Additional Clinical Services,Leavers,332,-4.5089608621675135,Neighbourhood Services|Additional Clinical Services|Leavers,1,12,0.1607529739185135,5.504243092275184e-10,-0.10069918087971935,-0.010903171136272002,-0.10943272618105002,0.09852552672194022,0.1868563997607865,4,5,0.03806056029158204,0.024586328330747965,-0.5201268225248976,0.29524261706835414,-0.6836482375336183,0.525914680402629,0.00882052015014791,13.588127125106393,0.04092809375032046,0.00717793209825356,0.0,0.0,0.0,0.0,0.0,0.22135277238333867,0.22171184036138597,0.22178042925966415,0.0
Neighbourhood Services,Additional Clinical Services,Sickness,1581,0.11972562074477407,Neighbourhood Services|Additional Clinical Services|Sickness,1,12,0.13148198266203814,3.272228117483309e-05,5.8665289479363,-0.5023495796740484,-0.08678224750741322,0.05510726016004874,0.15564329792559362,9,2,0.03814977191020931,0.005666516783362959,-0.4931173435329493,0.24762302552961993,-0.6678116047590175,0.4843985685341221,-0.03684167061356936,1558.2530578432156,0.9856123073012116,11.709876864900869,1.7280937515947326,-3.5400317471937206,-3.5400317471937206,-3.5400317471937206,4.034723224444041,5.504770197243557,6.031875883861423,8.182801514242179,-3.5400317471937206
Neighbourhood Services,Administrative and Clerical,Hires,181,-6.325529857732956,Neighbourhood Services|Administrative and Clerical|Hires,1,12,0.1843345717766428,4.3947040842696045e-10,-0.1225883114679328,-0.07400663697180243,-0.10214800292004539,0.07520704084296041,0.15314379103775344,1,3,0.07577737143817191,0.04820652053976041,-0.4649670835575693,0.23144384797905584,-0.6559340417273509,0.4779189141151675,-0.055143719211405255,4.395899814666087,0.02428673930754744,0.0032411302109434745,0.0,0.0,0.0,0.0,0.0,0.15793786776340454,0.15806494486870742,0.15808937784359142,0.0
Neighbourhood Services,Administrative and Clerical,Leavers,210,-5.24798595360795,Neighbourhood Services|Administrative and Clerical|Leavers,1,12,0.18550281446809236,7.358783911991865e-10,-0.12378390831439275,0.0314950985342041,-0.05569111022177127,0.09787586726843955,0.16864676064387762,9,9,0.11873808850217224,0.055244830579735255,-0.4655412360867023,0.2817965899647662,-0.6702651044366137,0.5736805748477446,-0.016334977496265533,7.681797041965725,0.036579985914122495,0.005542980042887595,0.0,0.0,0.0,0.0,0.0,0.1899521428946873,0.19041734184517886,0.19041734184517886,0.0
