service group,staff group,metric,Naive_rmse,Naive_mae,Naive_mape,SeasonalNaive_rmse,SeasonalNaive_mae,SeasonalNaive_mape,AutoARIMA_rmse,AutoARIMA_mae,AutoARIMA_mape,best_model,best_rmse
Neighbourhood Services,Allied Health Professionals,Leavers,0.28867513459481287,0.08333333333333333,4.166666666666666,0.408248290463863,0.16666666666666666,12.5,0.27639487741173324,0.1546852503926578,11.658617957895734,Naive,
Neighbourhood Services,Allied Health Professionals,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Estates and Ancillary,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
Neighbourhood Services,Healthcare Scientists,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
Neighbourhood Services,Medical and Dental,Hires,0.0,0.0,0.0,0.5,0.25,25.0,0.16666666415859877,0.16666666415859877,16.666666415859876,Naive,
Neighbourhood Services,Medical and Dental,Leavers,1.0,0.7142857142857143,30.95238095238095,1.0690449676496976,0.8571428571428571,45.23809523809524,0.9250062522980678,0.7957555354737966,66.50405921106409,Naive,
Neighbourhood Services,Medical and Dental,Sickness,,,,,,,,,,,inf
Neighbourhood Services,Nursing and Midwifery Registered,Hires,1.0,1.0,94.44444444444443,0.5,0.25,19.444444444444443,0.603574768065834,0.2904131056117591,17.86920167433363,Naive,
Neighbourhood Services,Nursing and Midwifery Registered,Leavers,0.0,0.0,0.0,0.0,0.0,0.0,0.188919289113606,0.188919289113606,18.8919289113606,Naive,
Neighbourhood Services,Nursing and Midwifery Registered,Sickness,,,,,,,,,,,inf
Operational Management,Additional Clinical Services,Leavers,0.8944271909999159,0.8,80.0,0.4472135954999579,0.2,10.0,0.43660622895700635,0.42499999856695625,36.24999983281157,Naive,
Operational Management,Additional Clinical Services,Sickness,24.210250411757414,22.7925,1032.533413045474,9.682779817800258,5.2075,100.0,9.480823248842116,9.022050734495966,346.52930601522314,Naive,
Operational Management,Administrative and Clerical,Hires,1.2060453783110545,0.9090909090909091,69.0909090909091,1.243163121016122,0.45454545454545453,11.818181818181818,1.1814159637475385,0.7360139860139859,38.513986013986,Naive,
Operational Management,Administrative and Clerical,Leavers,1.044465935734187,0.9090909090909091,77.27272727272727,1.0,0.45454545454545453,15.909090909090908,0.8925766856155322,0.635026749010927,40.274065661929704,Naive,
Operational Management,Administrative and Clerical,Sickness,,,,,,,,,,,inf
Operational Management,Estates and Ancillary,Sickness,0.0,0.0,,0.0,0.0,,0.0,0.0,,Naive,
